Date,Clicks,Impressions,CTR,Position
2026-05-11,0,4,0%,5
2026-05-12,0,2,0%,2
2026-05-13,0,8,0%,22.5
2026-05-14,0,10,0%,57.9
2026-05-15,0,5,0%,39.4
2026-05-16,0,11,0%,48.6
2026-05-17,0,12,0%,55.9
2026-05-18,1,16,6.25%,39.4
2026-05-19,0,53,0%,16.7
2026-05-20,0,48,0%,26.3
2026-05-21,0,45,0%,28.4
2026-05-22,0,27,0%,12.3
2026-05-23,0,13,0%,10.2
2026-05-24,0,23,0%,19.4
2026-05-25,0,33,0%,20.8
2026-05-26,1,31,3.23%,25.7
2026-05-27,0,28,0%,23.1
2026-05-28,1,62,1.61%,16.3
2026-05-29,0,77,0%,12.7
2026-05-30,0,66,0%,15.7
2026-05-31,1,106,0.94%,12
2026-06-01,1,180,0.56%,8.9
2026-06-02,0,225,0%,9.9
2026-06-03,1,162,0.62%,9.7
2026-06-04,0,216,0%,9.8
2026-06-05,1,188,0.53%,8.8
2026-06-06,1,128,0.78%,11.3
2026-06-07,1,120,0.83%,11.6
