Country,Clicks,Impressions,CTR,Position
Mexico,7,1647,0.43%,13.01
Argentina,1,6,16.67%,10.33
Australia,1,3,33.33%,7.67
United States,0,134,0%,16.66
Spain,0,16,0%,16.25
Canada,0,9,0%,42.33
Colombia,0,7,0%,6.57
Chile,0,7,0%,10.71
Venezuela,0,6,0%,7.17
Bolivia,0,5,0%,11.2
Peru,0,5,0%,17.2
United Kingdom,0,5,0%,55.4
Costa Rica,0,4,0%,8.5
France,0,3,0%,7
Sweden,0,3,0%,8.33
Uruguay,0,3,0%,10.33
South Korea,0,3,0%,17
India,0,3,0%,24.67
Brazil,0,3,0%,31.33
Guatemala,0,2,0%,7
Panama,0,2,0%,8
Ecuador,0,2,0%,8.5
Netherlands,0,2,0%,8.5
Singapore,0,2,0%,11
Côte d’Ivoire,0,1,0%,1
Norway,0,1,0%,1
Dominican Republic,0,1,0%,4
Honduras,0,1,0%,4
Belarus,0,1,0%,6
Russia,0,1,0%,6
Thailand,0,1,0%,7
Germany,0,1,0%,8
Turkey,0,1,0%,8
Vietnam,0,1,0%,9
Lithuania,0,1,0%,10
Pakistan,0,1,0%,10
China,0,1,0%,12
Algeria,0,1,0%,15
Japan,0,1,0%,19
Bangladesh,0,1,0%,30
Israel,0,1,0%,67
